"participant_id","chunk_id","label"
1,1,"break"
1,2,"break"
1,3,"stress"
1,4,"break"
1,5,"baseline"
1,6,"break"
1,7,"stress"
1,8,"break"
1,9,"stress"
1,10,"baseline"
1,11,"break"
1,12,"baseline"
1,13,"stress"
1,14,"meditation"
1,15,"stress"
1,16,"stress"
1,17,"break"
1,18,"meditation"
1,19,"break"
1,20,"break"
1,21,"meditation"
1,22,"stress"
1,23,"break"
1,24,"stress"
1,25,"break"
1,26,"baseline"
1,27,"meditation"
1,28,"stress"
1,29,"break"
1,30,"break"
1,31,"baseline"
1,32,"stress"
1,33,"break"
1,34,"stress"
1,35,"baseline"
1,36,"baseline"
1,37,"meditation"
1,38,"stress"
1,39,"meditation"
1,40,"stress"
1,41,"baseline"
1,42,"break"
1,43,"break"
1,44,"baseline"
1,45,"stress"
1,46,"baseline"
1,47,"break"
1,48,"stress"
1,49,"stress"
1,50,"break"
1,51,"baseline"
1,52,"break"
1,53,"break"
1,54,"break"
1,55,"break"
1,56,"stress"
1,57,"break"
1,58,"stress"
1,59,"baseline"
1,60,"stress"
1,61,"break"
1,62,"stress"
1,63,"stress"
1,64,"stress"
7,1,"baseline"
7,2,"baseline"
7,3,"meditation"
7,4,"baseline"
7,5,"baseline"
7,6,"stress"
7,7,"baseline"
7,8,"break"
7,9,"meditation"
7,10,"meditation"
7,11,"baseline"
7,12,"baseline"
7,13,"meditation"
7,14,"meditation"
7,15,"baseline"
7,16,"baseline"
7,17,"stress"
7,18,"stress"
7,19,"baseline"
7,20,"baseline"
7,21,"baseline"
7,22,"break"
7,23,"meditation"
7,24,"baseline"
7,25,"baseline"
7,26,"baseline"
7,27,"meditation"
7,28,"break"
7,29,"baseline"
7,30,"break"
7,31,"meditation"
7,32,"baseline"
7,33,"baseline"
7,34,"break"
7,35,"baseline"
7,36,"baseline"
7,37,"baseline"
7,38,"break"
7,39,"baseline"
7,40,"meditation"
7,41,"baseline"
7,42,"baseline"
7,43,"break"
7,44,"meditation"
7,45,"baseline"
7,46,"baseline"
7,47,"baseline"
7,48,"stress"
7,49,"meditation"
7,50,"break"
7,51,"baseline"
7,52,"break"
7,53,"break"
7,54,"break"
7,55,"baseline"
7,56,"break"
7,57,"baseline"
7,58,"baseline"
7,59,"baseline"
7,60,"meditation"
7,61,"break"
7,62,"meditation"
7,63,"break"
7,64,"baseline"
