"participant_id","chunk_id","label"
1,1,"break"
1,2,"break"
1,3,"baseline"
1,4,"break"
1,5,"baseline"
1,6,"baseline"
1,7,"baseline"
1,8,"stress"
1,9,"baseline"
1,10,"baseline"
1,11,"baseline"
1,12,"baseline"
1,13,"baseline"
1,14,"meditation"
1,15,"baseline"
1,16,"break"
1,17,"baseline"
1,18,"meditation"
1,19,"baseline"
1,20,"break"
1,21,"baseline"
1,22,"break"
1,23,"break"
1,24,"baseline"
1,25,"break"
1,26,"baseline"
1,27,"baseline"
1,28,"baseline"
1,29,"break"
1,30,"break"
1,31,"baseline"
1,32,"break"
1,33,"stress"
1,34,"stress"
1,35,"baseline"
1,36,"baseline"
1,37,"stress"
1,38,"stress"
1,39,"baseline"
1,40,"baseline"
1,41,"baseline"
1,42,"baseline"
1,43,"baseline"
1,44,"baseline"
1,45,"baseline"
1,46,"baseline"
1,47,"break"
1,48,"baseline"
1,49,"baseline"
1,50,"break"
1,51,"baseline"
1,52,"stress"
1,53,"break"
1,54,"break"
1,55,"break"
1,56,"stress"
1,57,"baseline"
1,58,"stress"
1,59,"baseline"
1,60,"stress"
1,61,"baseline"
1,62,"baseline"
1,63,"stress"
1,64,"stress"
7,1,"baseline"
7,2,"baseline"
7,3,"baseline"
7,4,"break"
7,5,"baseline"
7,6,"break"
7,7,"baseline"
7,8,"baseline"
7,9,"meditation"
7,10,"baseline"
7,11,"baseline"
7,12,"baseline"
7,13,"meditation"
7,14,"baseline"
7,15,"baseline"
7,16,"baseline"
7,17,"meditation"
7,18,"baseline"
7,19,"baseline"
7,20,"baseline"
7,21,"meditation"
7,22,"baseline"
7,23,"baseline"
7,24,"baseline"
7,25,"baseline"
7,26,"baseline"
7,27,"meditation"
7,28,"baseline"
7,29,"baseline"
7,30,"baseline"
7,31,"baseline"
7,32,"baseline"
7,33,"baseline"
7,34,"baseline"
7,35,"baseline"
7,36,"baseline"
7,37,"baseline"
7,38,"baseline"
7,39,"meditation"
7,40,"meditation"
7,41,"baseline"
7,42,"meditation"
7,43,"baseline"
7,44,"baseline"
7,45,"baseline"
7,46,"baseline"
7,47,"baseline"
7,48,"baseline"
7,49,"meditation"
7,50,"baseline"
7,51,"baseline"
7,52,"baseline"
7,53,"baseline"
7,54,"baseline"
7,55,"baseline"
7,56,"baseline"
7,57,"baseline"
7,58,"baseline"
7,59,"baseline"
7,60,"baseline"
7,61,"baseline"
7,62,"baseline"
7,63,"baseline"
7,64,"baseline"
